,home_team,away_team,home_score,away_score,home_manager,away_manager,Attendance,Venue,Round,Date,Score,Referee,Host,Year,home_goal,away_goal,home_penalty_goal,away_penalty_goal
264,Norway,Brazil,0,0,,,90185,"Rose Bowl, Pasadena",Third-place match,1999-07-10,(4) 0–0 (5),Im Eun-ju,United States,1999,,,,
265,United States,China PR,0,0,,,90185,"Rose Bowl, Pasadena",Final,1999-07-10,(5) 0–0 (4),Nicole Petignat,United States,1999,,,,
266,United States,Brazil,2,0,,,73123,"Stanford Stadium, Stanford",Semi-finals,1999-07-04,2–0,Katriina Elovirta,United States,1999,Cindy Parlow Cone · 5’,,Michelle Akers (P) · 80’,
267,Norway,China PR,0,4,,,28986,"Foxboro Stadium, Foxborough",Semi-finals,1999-07-04,0–4,Sonia Denoncourt,United States,1999,,Sun Wen · 3’|Liu Ailing · 14’|Liu Ailing · 51’|Fan Yunjie · 65’,,Sun Wen (P) · 72’
268,United States,Germany,3,2,,,54642,"Jack Kent Cooke Stadium, Landover",Quarter-finals,1999-07-01,3–2,Martha Toro,United States,1999,Tiffeny Milbrett · 16’|Brandi Chastain · 49’|Joy Fawcett · 66’,Bettina Wiegmann · 45+1’,,
269,Brazil,Nigeria,4,3,,,54642,"Jack Kent Cooke Stadium, Landover",Quarter-finals,1999-07-01,4–3,Virginia Tovar,United States,1999,Cidinha · 4’|Cidinha · 22’|Nenê · 35’|Sissi · 104’,Prisca Emeafu · 63’|Nkiru Okosieme · 72’|Nkechi Egbe · 85’,,
270,China PR,Russia,2,0,,,21411,"Spartan Stadium, San Jose",Quarter-finals,1999-06-30,2–0,Nicole Petignat,United States,1999,Pu Wei · 37’|Jin Yan · 56’,,,
271,Norway,Sweden,3,1,,,21411,"Spartan Stadium, San Jose",Quarter-finals,1999-06-30,3–1,Im Eun-ju,United States,1999,Ann Kristin Aarønes · 51’|Marianne Pettersen · 58’,Malin Moström · 90+1’,Hege Riise (P) · 72’,
272,Germany,Brazil,3,3,,,22109,"Jack Kent Cooke Stadium, Landover",Group stage,1999-06-27,3–3,Im Eun-ju,United States,1999,Birgit Prinz · 8’|Steffi Jones · 58’,Kátia · 15’|Sissi · 20’|Maycon · 90+4’,Bettina Wiegmann (P) · 46’,
273,Nigeria,Denmark,2,0,,,22109,"Jack Kent Cooke Stadium, Landover",Group stage,1999-06-27,2–0,Maria Siqueira,United States,1999,Mercy Akide · 25’|Nkiru Okosieme · 81’,,,
274,Mexico,Italy,0,2,,,50484,"Foxboro Stadium, Foxborough",Group stage,1999-06-27,0–2,Bola Abidoye,United States,1999,,Patrizia Panico · 37’|Paola Zanni · 51’,,
275,United States,Korea DPR,3,0,,,50484,"Foxboro Stadium, Foxborough",Group stage,1999-06-27,3–0,Katriina Elovirta,United States,1999,Shannon MacMillan · 56’|Tisha Venturini · 68’|Tisha Venturini · 76’,,,
276,Canada,Russia,1,4,,,29401,"Giants Stadium, East Rutherford",Group stage,1999-06-26,1–4,Xiudi Zuo,United States,1999,Charmaine Hooper · 76’,"Irina Grigorieva · 54’|Elena Fomina · 66’|Elena Fomina · 86’|Карасёва, Ольга Валентиновна · 90+1’",,
277,China PR,Australia,3,1,,,29401,"Giants Stadium, East Rutherford",Group stage,1999-06-26,3–1,Sandra Hunt,United States,1999,Sun Wen · 39’|Sun Wen · 51’|Liu Ying · 73’,Cheryl Salisbury · 66’,,
278,Ghana,Sweden,0,2,,,34256,"Soldier Field, Chicago",Group stage,1999-06-26,0–2,Sonia Denoncourt,United States,1999,,Victoria Sandell Svensson · 58’|Victoria Sandell Svensson · 86’,,
279,Norway,Japan,4,0,,,34256,"Soldier Field, Chicago",Group stage,1999-06-26,4–0,Marisela Contreras,United States,1999,Ann Kristin Aarønes · 36’|Dagny Mellgren · 61’,,Hege Riise (P) · 8’,
280,Brazil,Italy,2,0,,,65080,"Soldier Field, Chicago",Group stage,1999-06-24,2–0,Gitte Nielsen,United States,1999,Sissi · 3’|Sissi · 63’,,,
281,Korea DPR,Denmark,3,1,,,20129,"Civic Stadium, Portland",Group stage,1999-06-24,3–1,Martha Toro,United States,1999,Jin Pyol-hui · 15’|Jo Song-ok · 39’|Kim Kum-sil · 73’,Janni Johansen · 74’,,
282,United States,Nigeria,7,1,,,65080,"Soldier Field, Chicago",Group stage,1999-06-24,7–1,Nicole Petignat,United States,1999,Mia Hamm · 20’|Tiffeny Milbrett · 23’|Kristine Lilly · 32’|Michelle Akers · 39’|Cindy Parlow Cone · 42’|Tiffeny Milbrett · 83’,Nkiru Okosieme · 2’,,
283,Germany,Mexico,6,0,,,20129,"Civic Stadium, Portland",Group stage,1999-06-24,6–0,Im Eun-ju,United States,1999,Inka Grings · 10’|Sandra Smisek · 45+1’|Ariane Hingst · 49’|Inka Grings · 57’|Renate Lingor · 89’|Inka Grings · 90+2’,,,
